doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.3390/rs2122665,2010,Classification of Defoliated Trees Using Tree-Level Airborne Laser Scanning Data Combined with Aerial Images,Remote Sensing,RQ3,"logistic LASSO regression, random forest and most similar neighbour predicting individual tree defoliation level from ALS features and aerial image features, singly and combined","airborne laser scanning, aerial images",common pine sawfly (Diprion pini),Scots pine (Pinus sylvestris),individual tree,not stated in abstract,no,classification accuracy and kappa,83.7% (kappa 0.67) to 88.1% (kappa 0.76) depending on method; the most accurate result came from random forest with both sensors combined,"CENTRAL RECORD FOR RQ3. Tree-level insect defoliation classified from structure plus imagery, with the combined model beating either sensor alone. The sensor-ablation result this project's H1 predicts, already published for one agent."
10.1093/jof/108.3.111,2010,Integration of LIDAR and Digital Aerial Imagery for Detailed Estimates of Lodgepole Pine (Pinus contorta) Volume Killed by Mountain Pine Beetle (Dendroctonus ponderosae),Journal of Forests,RQ2;RQ3,sample-based plot estimation combining lidar dominant heights with photo-interpreted attack status on 55 photo-plots,"airborne lidar, digital aerial imagery",mountain pine beetle (Dendroctonus ponderosae),"lodgepole pine (Pinus contorta), British Columbia","0.25 ha photo-plot, 55 plots",sampling approach with photo-plots,no,not extracted from abstract,not extracted from abstract,"The closest prior work geographically. British Columbia, lidar plus imagery, insect-killed volume at plot support, using attack stage from photo interpretation. Establishes that the lidar-plus-imagery route has been taken in this province for a different insect."
10.1029/2008jg000911,2009,Forest disturbance and recovery: A general review in the context of spaceborne remote sensing of impacts on aboveground biomass and canopy structure,not stated,RQ3,general review of spaceborne remote sensing of disturbance impacts on aboveground biomass and canopy structure,"passive optical and near-infrared, high-resolution imagery, small-footprint lidar (review)","fire, windstorms, logging, shifting cultivation, land conversion, flooding, landslides, avalanches",global forest,not applicable,"not applicable, review",no,disturbed area,abrupt disturbances generating gaps over 0.001 km2 affect roughly 0.4 to 0.7 million km2 per year,"Frolking et al. 2009. Notes that high-resolution and small-footprint lidar can map crown geometry and gaps but has rarely been applied at the scale needed, which is still true for agent attribution."
10.3390/s8042262,2008,"Airborne Laser Scanning Quantification of Disturbances from Hurricanes and Lightning Strikes to Mangrove Forests in Everglades National Park, USA",Italian National Conference on Sensors,RQ3,pre and post-event airborne lidar comparison of canopy height distribution and gap counts at two sites,airborne lidar before and after the 2005 hurricane season,hurricanes (Katrina and Wilma) and lightning strikes,"mangrove forest, Everglades National Park","landscape, 61 and 68 ha",paired pre and post-event acquisitions at two sites,no,change in canopy proportion and gap density,gaps per square kilometre increased from about 400 to 500 up to 4000 after the hurricanes,"Two biotic-free agents of different spatial grain, hurricanes and lightning strikes, distinguished structurally within one forest. Lightning gaps are small and isolated, hurricane damage is diffuse, so the separation rests on spatial pattern rather than on the damage signature."
10.5194/bg-23-1291-2026,2026,Evaluating the consistency of forest disturbance datasets in continental USA,Biogeosciences,RQ2,"cross-comparison of five disturbance datasets for spatial extent, timing and causal agent",multiple products (Landsat-based and survey-based),"multiple, as labelled by each product",conterminous United States forest,pixel and polygon,inter-product consistency assessment,no,consistency between products,not extracted from abstract,"Directly relevant to label quality. Compares causal agent assignment across products where available, which is the closest published check on how much agent labels disagree."
10.1002/widm.70096,2026,Deep Learning for Satellite‐Based Forest Disturbance Monitoring: Recent Advances and Challenges,WIREs Data Mining and Knowledge Discovery,RQ2,"review of deep learning for satellite-based disturbance detection, mapping and attribution",satellite (review),"pests, fire, logging, drought",multiple,not applicable,"not applicable, review",no,not applicable,not applicable,"Describes classifying disturbances into different agents as the complex end of the task spectrum, above mapping logging or burned area."
10.3390/rs18050792,2026,"Assessing Drought-Induced Tree Mortality in Open Mediterranean Forests Integrating Landsat Time Series, Spectral Unmixing, and UAS Validation",Remote Sensing,RQ2,"LandTrendr applied to NDVI, NDWI and spectral unmixing vegetation cover, validated against UAS imagery","Landsat time series, UAS imagery",drought,"open Mediterranean forest, Crete",pixel,UAS imagery validated against field data,no,agreement with field data,UAS to field agreement R2 0.95,"Open canopies and mixed pixels named as the core obstacle, the same geometry as open fir stands."
10.3390/rs18081260,2026,Identifying the Impact of Leaf-Miner Complex Insects on Nothofagus obliqua Forests by Assessing Changes in Land Surface Phenology,Remote Sensing,RQ2,seasonal-trend decomposition of MODIS EVI 2003 to 2024 with an EVI condition index against a historical baseline,MODIS EVI time series,leaf-miner complex dominated by Heterobathmia pseuderiocrania,"Nothofagus obliqua, south-central Chile",MODIS pixel,historical baseline comparison,no,not extracted from abstract,not extracted from abstract,Names signal attribution as the explicit problem: attributing phenological anomalies to biotic disturbance rather than to climate.
10.3390/drones10040250,2026,Spectral Responses to Larval and Artificial Defoliation in Eucalyptus dunnii: Implications for UAV-Based Detection of Gonipterus Damage,Drones,RQ2,"randomised complete block experiment with five replicates and four treatments, UAV 10-band multispectral over 16 days","UAV multispectral, 10 bands",Gonipterus sp. n. 2 larval feeding versus artificial defoliation,"Eucalyptus dunnii, 20 potted trees",individual tree,"randomised complete block, five replicates, controlled inoculation levels","yes, four treatments with five replicates each",reflectance change,reduction in visible and near-infrared reflectance in both larval and artificial treatments,"CENTRAL FOR THE ATTRIBUTION PROBLEM. Explicitly contrasts insect-caused defoliation with mechanically imposed defoliation of the same magnitude on the same host, which is the cleanest available test of whether a spectral signature is agent-specific or merely damage-specific. The abstract states verbatim that distinguishing insect-specific damage from general canopy stress remains challenging due to overlapping spectral signatures."
10.1111/1365-2664.70344,2026,Unravelling the spatial and temporal variability of natural disturbances in European forests,Journal of Applied Ecology,RQ2,"Gaussian finite mixture models characterising disturbance regimes by causal agent from size, severity and frequency","Landsat-derived disturbance dataset, over 3.8 million events 1985 to 2023","fire, wind and bark beetle","European forest across boreal, temperate and Mediterranean biomes","disturbance patch, 50 km grid cell",not stated in abstract,no,regime parameters,not extracted from abstract,"Shows that the three agents differ systematically in patch size, severity and frequency, which is why size and pattern predictors carry agent information in existing studies."
10.3390/f17060640,2026,Discrimination of Bark Beetle-Damaged Forest Stands Using Vegetation Indices Derived from Landsat 8,Forests,RQ2,statistical discrimination test of five vegetation indices between damaged and undamaged stands,Landsat 8 OLI,Ips sexdentatus,"coniferous stands, Arac Forest Directorate, Kastamonu","stand, 80 stands","fieldwork-selected stands, 40 damaged and 40 undamaged","yes, 40 damaged and 40 undamaged",index separability,not extracted from abstract,One of the few records in the set with a deliberately balanced two-class design at stand support.
10.3390/rs18071038,2026,"A Two-Step Framework for Mapping, Classification, and Area Estimation of Stand- and Non-Stand-Replacing Forest Disturbances",Remote Sensing,RQ2,"two-step framework, binary change detection with the Three Indices Three Dimensions algorithm then classification of disturbance type, with design-based area estimation",Sentinel-2,stand-replacing and non-stand-replacing disturbance types,inland Spain forest,pixel with official area estimates,area estimation suitable for national statistics,no,not extracted from abstract,not extracted from abstract,"Separates change detection from agent classification into two explicit steps, which is a defensible structure for this project's pipeline."
10.1088/1748-9326/add606,2025,Global drivers of forest loss at 1 km resolution,Environmental Research Letters,RQ2,classification of dominant driver of forest loss into seven classes at 1 km from satellite and ancillary data,"Landsat, Sentinel, biophysical and population data","seven drivers including permanent agriculture, wildfire and logging",global forest,1 km pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Global driver attribution at coarse support. None of the seven classes is an insect.
10.5194/essd-17-2373-2025,2025,The European Forest Disturbance Atlas: a forest disturbance monitoring system using the Landsat archive,Earth System Science Data,RQ2,"classification-based annual disturbance detection on a Landsat data cube, with layers for occurrence, severity and agent",Landsat archive 1985 to 2023,"agent layer included, classes not enumerated in abstract",continental European forest,pixel,compiled reference data on forest land use and disturbances,no,disturbed area,"total forest disturbed area of 439,000 km2 over 1985 to 2023",The current continental-scale product carrying an agent attribute. Sets the operational baseline any new attribution claim is measured against.
10.3390/drones9050337,2025,Evaluation of Temporal Trends in Forest Health Status Using Precise Remote Sensing,Drones,RQ2,YOLO deep learning object detection on UAV RGB imagery over four years,UAV RGB,bark beetle,"fir-dominated forest, Zao Mountains, Japan",individual tree,four-year repeat acquisition,no,not extracted from abstract,not extracted from abstract,"Fir host and bark beetle agent, the same pairing as the western balsam bark beetle class in this project."
10.1007/s10980-025-02111-2,2025,Post-fire delayed tree mortality in mesic coniferous forests reduces fire refugia and seed sources,Landscape Ecology,RQ2,annual mapping of live tree cover from 3 m satellite imagery up to three years post-fire,3 m high-resolution satellite imagery,high-severity wildfire and subsequent delayed mortality,"mesic coniferous forest, Oregon western Cascades","3 m pixel, patch",not stated in abstract,no,change in live cover,delayed mortality decreased live forest cover by 8.5% between one month and three years post-fire,"Quantifies the lag between an agent acting and the damage becoming visible, which is the timing problem in matching survey year to imagery year."
10.1093/forestry/cpaf043,2025,Assessment of regional scale-based bark beetle disturbance predisposition in complex terrain with earth observations,Forestry: An International Journal of Forest Research,RQ2,earth observation predictors of stand predisposition to infestation at 30 m in complex terrain,"satellite earth observation, sensors not enumerated in abstract","bark beetle, with wind as the co-dominant agent",European Alps forest,30 m cell,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Predisposition rather than damage, and it names wind and bark beetle as the two dominant agents in the same landscape."
10.3390/rs17193274,2025,"Detection of Larch Caterpillar Infestation in Typical Forest Areas of Changbai Mountain, China, Based on Integrated Satellite Hyperspectral and Multispectral Data",Remote Sensing,RQ2,"genetic algorithm feature selection over spectral indices, texture and fraction features from fused hyperspectral and multispectral imagery","Zhuhai-1 hyperspectral, Sentinel-2 multispectral",larch caterpillar (Dendrolimus superans),"larch, Changbai Mountain",pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Argues that single data sources give insufficient spectral information for accurate insect detection.
10.1002/ecog.07680,2025,Patterns and drivers of biotic disturbance hotspots in western United States coniferous forests,Ecography,RQ2,Bayesian spatio-temporal models of the occurrence of areas where two or more biotic agents co-occur,"aerial survey based biotic disturbance records, 2000 to 2020","multiple herbivorous insects and plant pathogens, co-occurring","coniferous forest, Southern Rockies, Middle Rockies and Cascades",survey polygon,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"CENTRAL FOR THE CO-OCCURRENCE PROBLEM. Establishes that two or more biotic agents overlapping in space and time is a documented phenomenon in exactly the aerial survey records this project uses, and names it a biotic disturbance hotspot. It models where hotspots occur; it does not separate the agents from imagery."
10.3390/f16030403,2025,Where is the Eastern Larch Beetle? An Exploration of Different Detection Methods in Northern Wisconsin,Forests,RQ2;RQ4,"field survey of 50 stands or aerial detection polygons, comparing aerial sketch map polygons, a satellite algorithm and field observation","aerial sketch map survey, Astrape satellite algorithm, field survey",eastern larch beetle (Dendroctonus simplex),"tamarack (Larix laricina), northern Wisconsin","stand and survey polygon, 50 units",field verification of 20 aerial survey polygons and 20 satellite-flagged stands,"yes, 20 and 20 plus a third group stated",agreement between detection methods and field observation,not extracted from abstract,"CENTRAL RECORD FOR RQ4. Field-verifies aerial sketch map polygons against ground truth for a specific insect on a specific host, which is precisely the label-accuracy question this project's ceiling depends on."
10.48550/arxiv.2512.13104,2025,FID-Net: A Feature-Enhanced Deep Learning Network for Forest Infestation Detection,arXiv.org,RQ2,YOLOv8n-based detector with feature enhancement and multi-scale fusion modules on UAV visible-light imagery,UAV RGB,"forest pests, not named in abstract",not stated,individual tree,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Preprint. Detection plus spatial pattern metrics.
10.35595/2414-9179-2025-2-31-154-163,2025,Application of the meanshift segmentation method for tree crown delineation from UAV imagery using Orfeo ToolBox,InterCarto. InterGIS,RQ2;RQ4,MeanShift segmentation of crowns into three sanitary condition categories,UAV imagery,Ussuri bark beetle (Polygraphus proximus),"fir (Abies), Perm Krai",individual crown,not stated in abstract,no,recognition accuracy by condition category,not extracted from abstract,Fir host and bark beetle agent with condition classes matching the survey severity vocabulary.
10.1093/forestry/cpaf078,2025,Climate-linked cascading disturbances drive conifer forest decline in a boreal–temperate ecotone: evidence from Kunashir Island (Northwest Pacific),Forestry: An International Journal of Forest Research,RQ2,convolutional neural networks on very high resolution satellite imagery to map windthrow then subsequent beetle outbreak,very high resolution satellite imagery,extratropical cyclone followed by Japanese spruce bark beetle,"Abies sachalinensis, Picea jezoensis, Picea glehnii, Kunashir Island",patch,not stated in abstract,no,disturbed area,"windthrow patches covered 21.73 km2, 1.83% of island forest area, 97% in dark coniferous and mixed forests","Two agents in sequence on the same conifer hosts, separated by timing and by the causal chain rather than by a classifier."
10.1186/s42408-025-00382-3,2025,Has the tortoise scale exacerbated fire severity in Mediterranean stone pine forests?,Fire Ecology,RQ2,fire behaviour simulation coupled with Landsat reflectance sensitivity analysis to insect abundance,Landsat 8,Toumeyella parvicornis (tortoise scale) interacting with wildfire,"Pinus pinea, Mediterranean",stand,"two experimental designs, described in the abstract",no,band sensitivity and fire type proportions,"only NIR, green and SWIR 2 were sensitive to T. parvicornis abundance; 62.7% surface fires in unthinned stands versus 37.3% conditional fire types","An insect agent modifying the severity of a second agent, which is a different kind of interaction from co-occurrence."
10.1038/s41467-024-49116-0,2024,Changes in planned and unplanned canopy openings are linked in Europe’s forests,Nature Communications,RQ2,"attribution of the root cause of all stand-replacing canopy disturbances identified from Landsat, split into planned and unplanned",Landsat 1986 to 2020,"human land use versus wind, bark beetles and wildfire","European forest, 417,000 km2",disturbance patch,not stated in abstract,no,share of disturbed area by cause,human canopy openings account for 82% of the area disturbed; planned openings increased 24% and unplanned 30% relative to the late twentieth century,"Continental attribution, but the binary is human versus natural, with wind, beetle and fire grouped together as unplanned."
10.1101/2024.11.10.622853,2024,Large-scale remote sensing reveals that tree mortality in Germany appears to be greater than previously expected,bioRxiv,RQ2,"random forest regression of standing deadwood maps at 10 m on biotic and abiotic environmental drivers, with drone-image reference","Sentinel 10 m maps of standing deadwood, drone imagery as reference","biotic and abiotic drivers, analysed jointly",German forest,10 m pixel,hundreds of drone images as the reference for mortality,no,not extracted from abstract,not extracted from abstract,"Preprint. Drone imagery as a scalable reference source, an alternative to the aerial survey polygons this project relies on."
10.1101/2024.10.18.619094,2024,deadtrees.earth - An Open-Access and Interactive Database for Centimeter-Scale Aerial Imagery to Uncover Global Tree Mortality Dynamics,bioRxiv,RQ2,open database of centimetre-resolution drone orthophotos of tree mortality for training supervised models,drone orthophotos at sub-centimetre to centimetre resolution,"tree mortality, multiple causes","global, multiple forest types",individual tree,"not applicable, data resource",no,not applicable,"more than a thousand orthophotos covering more than 300,000 units as stated",Preprint. A reference-data resource that could supply independent validation for mortality but not for agent identity.
10.1109/jstars.2024.3460981,2024,A Deep Semantic Segmentation Approach to Map Forest Tree Dieback in Sentinel-2 Data,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,RQ2,U-Net semantic segmentation with attention and self-distillation on Sentinel-2,Sentinel-2,"insect outbreaks, pests, fires and windstorms named collectively","forest, two case studies",pixel,two case studies,no,not extracted from abstract,not extracted from abstract,Dieback segmentation with agents named but not separated.
10.3390/rs16224166,2024,Combining Sentinel-2 Data and Risk Maps to Detect Trees Predisposed to and Attacked by European Spruce Bark Beetle,Remote Sensing,RQ2,"random forest on Sentinel-2 pixels combined with a geodata and forestry risk map, fitted per date across two seasons","Sentinel-2, geodata risk map",European spruce bark beetle,"Norway spruce, southern Sweden, two 90 by 90 km tiles",pixel,per-date models across May to September in 2017 and 2018,no,detection accuracy as a function of time since swarming,not extracted from abstract,"Combines a susceptibility prior with a spectral detector, which is the same structure as combining abiotic covariates with spectra in Campbell et al. 2023."
10.3390/rs16203840,2024,Early Detection of Dendroctonus valens Infestation with UAV-Based Thermal and Hyperspectral Images,Remote Sensing,RQ2,random forest on four spectral datasets and one temperature dataset to classify three tree states,"UAV thermal infrared, UAV hyperspectral",Dendroctonus valens,Pinus sylvestris var. mongolica,individual tree,not stated in abstract,no,not extracted from abstract,differences between healthy and early-infested trees occur mainly in the near-infrared,"Three states, healthy, early-infested and dead, from spectra plus canopy temperature."
10.1145/3605098.3635908,2024,Leveraging Sentinel-2 time series for bark beetle-induced forest dieback inventory,ACM Symposium on Applied Computing,RQ2,"random forest, XGBoost and U-Net compared on Sentinel-2 bands and indices, with and without temporal information",Sentinel-2 time series,bark beetle,European coniferous forest,pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Isolates the contribution of temporal information to detection performance.
10.1080/01431161.2024.2399327,2024,Towards scalable wide area UAS monitoring of forest disturbance using hydrogen powered airships,International Journal of Remote Sensing,RQ2,beyond visual line of sight hydrogen-powered airship UAS monitoring flights in three seasons,"airship-borne UAS sensors, not enumerated in abstract",bark beetles and other disturbance agents,"conserved forest, North Karelia, Finland",1.3 km2 area,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Platform paper. Relevant only to acquisition logistics.
10.3389/ffgc.2024.1445094,2024,Bark beetle detection method using electronic nose sensors. A possible improvement of early forest disturbance detection?,Frontiers in Forests and Global Change,RQ2,electronic nose sensors detecting volatile compounds with microclimate signs in stands,"electronic nose gas sensors, in-stand rather than remote",bark beetle,"coniferous forest, Europe",stand,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Included because of its verbatim statement of the limit of spectral detection: in some cases, the attacked trees do not change their appearance, and based on calculations of vegetation indices from remote sensing data, the attack cannot be mapped. Not a remote sensing method."
10.2478/forj-2024-0013,2024,Identification of drought-induced forest damage in 2022 and of its key site condition drivers through satellite imagery,Central European Forestry Journal,RQ2,image classification of a drought year against a reference year without drought,Sentinel-2,drought causing discoloration and defoliation,Slovak forest,stand,"reference year comparison, 2020 against 2022",no,proportion of stands by damage class,"stands with defoliation over 50% doubled to 19.3%, 417,000 ha; 223,000 ha increased defoliation by 30% or more","Uses a clean reference year rather than a within-year control, an approach available where a pre-outbreak epoch exists."
10.3390/f15030470,2024,Characterization of Change in Tree Cover State and Condition over the Conterminous United States,Forests,RQ2,annual land cover and change time series with map validation reference plots to characterise tree cover change processes,Landsat 1985 to 2018 (LCMAP Collection 1.2),"disturbance and extreme climate events, processes not individually named",conterminous United States,pixel with validation reference plots,map validation reference plots,no,not extracted from abstract,not extracted from abstract,Operational product with a documented reference-plot validation design.
10.3390/f17040419,2026,Land Surface Phenology Reveals Region-Specific Hurricane Impacts Across the North Atlantic Basin (2001–2022),Forests,RQ2,"pre and post-hurricane land surface phenology from EVI for 44 hurricanes over 22 years, storms grouped by climate attributes",MODIS-class EVI time series,"hurricanes, 44 moderate and strong events","North Atlantic Basin forest, six subregions",subregional,comparison across six subregions and wind speed classes,no,EVI response,Southeast US showed EVI decline in the first winter and first year; four other regions showed no increased impact with wind speed,A negative result on transferability: the same agent produces a detectable phenological signal in some regions and none in others.
10.1016/j.rse.2022.113416,2023,Automated attribution of forest disturbance types from remote sensing data: A synthesis,Remote Sensing of Environment,RQ2;RQ3,"systematic synthesis of 34 studies that automated the attribution of two or more forest disturbance types, with metrics on context, method and outcome",Landsat in 33 of 34 studies (review),"eight disturbance categories: harvest, land-use change, wildfire, context-specific change, biotic disturbances or other stress, infrastructure, weather, hydrologic processes","multiple, global","pixel, approximated as 900 m2 Landsat or 1 km2 MODIS","30 of 34 studies reported overall accuracy; evaluation data were on-screen interpretation, field data, or inventory and disturbance datasets",no,overall accuracy of attribution,about 80% for up to eight disturbance types across local (500 km2) to continental (6.5 x 10^6 km2) extents; insect damage studies at local extents as low as about 23%,"DECISIVE RECORD FOR THE RQ3 ADJUDICATION. Stahl et al. 2023, full text read. This is a complete synthesis of the automated attribution literature to April 2022. Three findings bear directly on the novelty claim. First, all biotic agents collapse into a single attribution category, described verbatim as 'biotic disturbances or other stress, referring to degradation of the forest canopy due to insect damage, disease, or unspecified stress (which can include abiotic or anthropogenic drivers such as drought or acidification)', so no reviewed study separated one insect from another. Second, the words lidar and LiDAR do not appear anywhere in the paper. Third, radar appears once, prospectively: 'The addition of Sentinel data (including Sentinel-1 radar data) to attribution algorithms may help foster additional advances in research and monitoring of forest disturbance and recovery... potentially providing greater sensitivity for earlier detection of tree stress.' Absent from references.bib."
10.5564/mjgg.v59i43.2529,2022,Estimation of leaf loss rate in pest damaged larch forests using Sentinel-2 satellite data,Mongolian Journal of Geography and Geoecology,RQ2,"spectral index and spectral derivative features from simulated and non-simulated Sentinel-2A reflectance, SPA feature selection, random forest discrimination model of pest type, FCM clustering for severity","Sentinel-2A, plus ground spectroscopy for the simulation model","Erannis jacobsoni Djak and Dendrolimus sibiricus Tschtv, two insect defoliators","larch, Mongolia",tree and plot within two study areas,"cross-validated (mR2cv, rR2cv reported), no spatial blocking stated",no,cross-validated R squared and RMSE for leaf loss rate by pest and feature set,"simulated Sentinel-2A: EJD spectral index mR2cv 0.8771, PST spectral index mR2cv 0.8900; non-simulated: EJD 0.7907, PST 0.8094","NEAREST MISS FOR THE TWO-INSECT CLAIM, full text read. Ariunaa et al. 2022. It does build a random forest discrimination model of different pest types, and both agents are defoliators of larch. But the two agents occupy two separate study areas, Binder for Erannis jacobsoni and Baruunburen for Dendrolimus sibiricus, several hundred kilometres apart, so agent is fully confounded with site, climate and stand. The paper reports leaf loss rate accuracy per pest, not a confusion matrix between the two pests. It therefore does not refute a claim about separating two insect agents attacking the same host in the same place."
10.3390/f15091650,2024,Changes in Spatiotemporal Pattern and Its Driving Factors of Suburban Forest Defoliating Pest Disasters,Forests,RQ1;RQ2,"leaf area index time series from Sentinel-2A across a full 3 to 5 year disaster cycle, with geographical detector analysis of driving factors",Sentinel-2A LAI,Dendrolimus superans,"forest of the Changbai Mountain region, multiple forest types",pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Covers a complete outbreak cycle rather than a single epoch, and separates driver contributions by growth stage."
10.3390/rs15020407,2023,Early Detection of Dendroctonus valens Infestation at Tree Level with a Hyperspectral UAV Image,Remote Sensing,RQ2,"random forest and convolutional neural network on reflectance, derivatives and spectral vegetation indices, three tree states",UAV hyperspectral,Dendroctonus valens,Pinus tabuliformis,individual tree,not stated in abstract,no,not extracted from abstract,dead trees separated accurately by all models; infested-tree change confined mainly to the visible region,"Dead trees are easy and infested trees are hard, the same asymmetry that governs whether the adelgid class is detectable at all."
10.1007/s41064-023-00240-4,2023,Uncovering Early Traces of Bark Beetle Induced Forest Stress via Semantically Enriched Sentinel-2 Data and Spectral Indices,PFG – Journal of Photogrammetry Remote Sensing and Geoinformation Science,RQ2,"stratified hierarchical hybrid image understanding system pre-selecting candidate pixels, then spectral vegetation indices to confirm or reject",Sentinel-2 time series,bark beetle green attack,"Berchtesgaden National Park, Norway spruce",pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"States the general contrast that matters here: unlike sudden agents such as wind, avalanche and fire, bark beetle infestation progresses gradually. The same gradualness applies to adelgid damage."
10.1080/22797254.2023.2260549,2023,Detecting semi-arid forest decline using time series of Landsat data,European Journal of Remote Sensing,RQ2,"three Landsat time series approaches compared, random forest, anomaly detection and Sen's slope",Landsat time series,"forest decline, drought and defoliation","Zagros semi-arid forest, Iran",forest patch,not stated in abstract,no,overall accuracy and kappa,"random forest 0.75 (kappa 0.50), anomaly detection 0.65 (kappa 0.30), Sen's slope 0.64 (kappa 0.30)","Sparse open canopies again, and a candid set of low kappa values for a two-class decline problem."
10.3390/insects14120955,2023,Monitoring and Prediction of Siberian Silk Moth Dendrolimus sibiricus Tschetv. (Lepidoptera: Lasiocampidae) Outbreaks Using Remote Sensing Techniques,Insects,RQ2,"construction of remote indicators based on stand response to weather conditions, aimed at detecting loss of resistance before damage appears","satellite remote sensing, sensors not enumerated in abstract",Siberian silk moth (Dendrolimus sibiricus),Siberian forest,stand,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"States plainly that many remote indicators only change after significant damage has occurred, which is the timing problem in matching a survey polygon to imagery."
10.5194/agile-giss-4-35-2023,2023,Exploring the potential to use in-between pixel variability for early detection of bark beetle attacked trees,AGILE Conf.,RQ2,"coefficient of variation of four vegetation indices computed in 3x3, 4x4 and 5x5 pixel windows through a time series",Sentinel-2,Ips typographus green attack,Norway spruce,pixel window,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Uses within-neighbourhood spectral variability rather than mean reflectance, a texture route to a subtle signal."
10.3390/rs14236105,2022,A Sentinel-2 Based Multi-Temporal Monitoring Framework for Wind and Bark Beetle Detection and Damage Mapping,Remote Sensing,RQ2,multi-temporal Sentinel-2 time series framework for detecting and mapping both windthrow and subsequent bark beetle damage,Sentinel-2,windstorm and spruce bark beetle,"coniferous forest, Friulian Dolomites, Carnic and Julian Alps",management unit to region,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Sets out to distinguish the cause of forest damage between an abiotic and a biotic agent that are causally linked, the wind-then-beetle cascade."
10.3390/rs14071758,2022,Agents of Forest Disturbance in the Argentine Dry Chaco,Remote Sensing,RQ2,random forest classification of disturbance patches on spectral characteristics and patch shape metrics,Landsat image time series,"logging, fire, partial clearing, riparian change and drought","Argentine Dry Chaco dry forest, 489,000 km2",disturbance patch,not stated in abstract,no,not extracted from abstract,partial clearing was the most widespread type,"Five-class attribution using patch shape as well as spectra. The classes differ in geometry, which is what makes shape metrics work."
10.3390/fire5030068,2022,Characterization of Wildfires and Harvesting Forest Disturbances and Recovery Using Landsat Time Series: A Case Study in Mediterranean Forests in Central Italy,Fire,RQ2,"pixel-level spectral trajectory extraction over 20 years with short and long-term recovery metrics, by disturbance type",Landsat time series 1999 to 2018,harvesting and forest fire,"Mediterranean forest, Tuscany",pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Separates two agents by their distinct pre and post-event temporal behaviour, which is the mechanism this project cannot rely on because both its agents are chronic."
10.3389/fpls.2022.863116,2022,Distinguishing Abrupt and Gradual Forest Disturbances With MODIS-Based Phenological Anomaly Series,Frontiers in Plant Science,RQ2,phenological anomaly series from MODIS to distinguish abrupt from gradual disturbance,MODIS time series,"abrupt versus gradual disturbance, agents not individually named","forest, extent not stated in abstract",MODIS pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Splits disturbance by temporal form rather than by agent, which is the axis on which most optical attribution actually operates."
10.3390/rs14122750,2022,Mapping Cork Oak Mortality Using Multitemporal High-Resolution Satellite Imagery,Remote Sensing,RQ2,change detection with an unsupervised classifier on three vegetation indices between dates,Pleiades high resolution multispectral,drought-related mortality,cork oak (Quercus suber) in a pasture with multiple species,individual tree,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Open pasture-woodland with mixed species, the hardest optical background, addressed at individual tree support."
10.1111/gcb.15679,2021,Storm and fire disturbances in Europe: Distribution and trends,Global Change Biology,RQ2,"random forest classifier assigning 27 million satellite-mapped disturbance patches to storm or fire, using a large reference dataset of true occurrences","Landsat-derived disturbance patches, 1986 to 2016","storm and fire, against a background of biotic and human agents",European forest,"disturbance patch, 27 million patches",large reference dataset of true disturbance occurrences,no,agent prevalence share,not extracted from abstract,The largest patch-level agent classification in the set by sample size. Its two positive classes are both abiotic and everything else is residual.
10.1016/j.jag.2021.102335,2021,Early detection of bark beetle infestation in Norway spruce forests of Central Europe using Sentinel-2,International Journal of Applied Earth Observation and Geoinformation,RQ2,seasonal trajectories of Sentinel-2 bands and vegetation indices tested for green-attack detection at stand rather than tree level,Sentinel-2,Ips spp. bark beetle green attack,"Norway spruce monoculture, Czech Republic","forest stand, explicitly not individual tree",not stated in abstract,no,not extracted from abstract,not extracted from abstract,"States explicitly that Sentinel-2 does not allow individual tree detection, which fixes the support at which a Sentinel-based design can operate."
10.1002/rse2.194,2021,Extending deep learning approaches for forest disturbance segmentation on very high‐resolution satellite images,Remote Sensing in Ecology and Conservation,RQ2,deep convolutional neural networks for segmentation of damage on very high resolution imagery,very high resolution satellite imagery,windthrow and bark beetle,"forest, Russia",segment,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Recognises damage from two agents, one abiotic and one biotic, in a single segmentation framework."
